"Ticker","Nome","Negócios","Última (R$)","Variação"
"IGTI11","Iguatemi","1.560.800","24,45","+0,87%"
"IFCM3","Infracommerce","1.556.600","0,21","+5,00%"
"CSMG3","COPASA","1.532.500","34,22","+1,33%"
"HBOR3","Helbor","1.482.200","3,55","+0,85%"
"AZZA3","Arezzo","1.411.100","31,05","+1,07%"
"SBFG3","Grupo SBF","1.409.100","13,34","+1,29%"
"OIBR3","Oi","1.375.900","0,53","+0,00%"
"SRNA3","Serena Energia","1.334.300","12,36","+0,16%"
"LWSA3","Locaweb","1.328.800","4,44","+0,00%"
"HYPE3","Hypera","1.307.700","22,98","+0,39%"
"GRND3","Grendene","1.307.000","5,20","-0,19%"
"ALPA4","Alpargatas","1.293.400","9,50","-0,21%"
"MILS3","Mills","1.290.500","12,15","+1,50%"
"HBSA3","Hidrovias do Brasil","1.240.300","3,37","+0,90%"
"CURY3","Cury","1.222.300","33,70","+1,20%"
"SLCE3","SLC Agrícola","1.195.500","16,61","+0,24%"
"STBP3","Santos Brasil","1.172.200","14,46","+0,14%"
"MLAS3","Multilaser","1.149.500","1,03","+0,00%"
"SANB11","Banco Santander","1.146.600","29,35","+0,38%"
"PGMN3","Pague Menos","1.119.500","3,62","+0,28%"
"KLBN3","Klabin","1.086.300","3,62","-2,16%"
"MELK3","Melnick","1.040.300","4,18","+2,20%"
"SMTO3","São Martinho","999.700","17,50","-1,85%"
"ARML3","Armac","999.300","3,78","-1,05%"
"BRSR6","Banrisul","970.000","11,85","+1,02%"
"TEND3","Construtora Tenda","954.500","26,34","-0,23%"
"SYNE3","SYN","944.200","5,10","+0,39%"
"SAPR4","Sanepar","942.800","7,21","+0,98%"
"ODPV3","Odontoprev","939.700","13,14","+0,15%"
"EGIE3","Engie","897.800","41,08","+2,32%"
"BPAN4","Banco Pan","858.000","7,85","+0,26%"
"GUAR3","Guararapes","852.500","9,41","-1,88%"
"USIM3","Usiminas","834.700","4,40","-2,00%"
"DASA3","Dasa","810.600","1,30","-0,76%"
"MDNE3","Moura Dubeux","789.000","29,28","-0,24%"
"ITUB3","Itaú Unibanco","777.900","34,46","+0,55%"
"SHUL4","Schulz","776.400","4,82","+0,42%"
"LIGT3","Light","770.700","5,95","-2,46%"
"EVEN3","Even","710.300","7,86","+0,51%"
"JALL3","Jalles Machado","696.400","2,78","-1,07%"
"CAML3","Camil Alimentos","686.700","5,04","-1,18%"
"EZTC3","EZTEC","679.900","16,18","-1,40%"
"SOJA3","Boa Safra Sementes","679.600","10,93","-0,82%"
"SAPR11","Sanepar","655.000","36,82","+0,52%"
"TOKY3","TOKY3","648.100","0,97","-3,00%"
"KEPL3","Kepler Weber","641.300","7,39","+1,23%"
"TTEN3","3tentos","610.200","14,01","+1,45%"
"JSLG3","JSL","601.600","6,38","+0,16%"
"TUPY3","Tupy","593.900","13,24","-0,75%"
"TFCO4","Track & Field","553.100","16,98","+1,13%"
"VULC3","Vulcabras","551.900","19,56","-0,05%"
"PLPL3","Plano&Plano","530.300","16,95","+0,47%"
"ABCB4","Banco ABC Brasil","497.200","23,48","+0,82%"
"IRBR3","IRB Brasil RE","480.000","47,79","+1,70%"
"ENJU3","Enjoei","476.000","0,91","-3,19%"
"RCSL3","Recrusul","472.900","1,63","-6,86%"
"HBRE3","HBR Realty","461.800","4,64","-2,93%"
"AMAR3","Lojas Marisa","440.800","1,19","-1,65%"
"SEQL3","Sequoia Logística","439.300","1,14","-0,87%"
"LAVV3","Lavvi Incorporadora","437.600","14,74","-0,67%"
"DESK3","Desktop","433.700","10,38","-0,19%"
"MDIA3","M. Dias Branco","413.200","28,32","+0,71%"
"ALUP11","Alupar","391.100","32,10","+1,55%"
"FESA4","Ferbasa","385.200","6,62","+0,30%"
"ESPA3","Espaçolaser","378.200","1,27","-0,78%"
"POSI3","Positivo","375.900","4,39","-0,45%"
"ALLD3","Allied","373.500","8,78","+2,93%"
"ALPK3","Estapar","363.300","3,42","+1,79%"
"BMGB4","Banco BMG","357.100","4,04","+0,75%"
"PORT3","Wilson Sons","348.300","18,23","+0,05%"
"TRIS3","Trisul","344.400","7,26","+1,54%"
"PRNR3","Priner","339.200","17,15","-1,38%"
"POMO3","Marcopolo","331.500","7,59","-1,30%"
"BMOB3","Bemobi","326.000","23,60","+1,24%"
"FIQE3","Unifique","315.400","4,63","+1,98%"
"VTRU3","VITRUBREPCOM","310.200","12,09","+1,77%"
"MTRE3","Mitre Realty","305.300","3,90","+0,52%"
"BRBI11","BR Partners","295.100","18,44","-3,00%"
"PDGR3","PDG Realty","277.500","0,13","-7,14%"
"PTBL3","Portobello","273.300","4,00","-1,72%"
"OPCT3","OceanPact","268.400","7,78","+1,04%"
"RANI3","Irani","267.400","8,35","+0,36%"
"WIZC3","Wiz Soluções","255.900","8,36","+1,83%"
"SEER3","Ser Educacional","252.300","10,85","-0,28%"
"ZAMP3","Zamp","241.700","3,51","-0,28%"
"ROMI3","Indústrias ROMI","233.300","7,70","-1,28%"
"LEVE3","Mahle Metal Leve","219.600","27,04","-0,15%"
"MEAL3","IMC Alimentação","211.700","1,33","+0,76%"
"PINE4","Banco Pine","210.100","8,20","-2,03%"
"TAEE4","Taesa","207.400","12,28","+1,91%"
"TASA4","Taurus","207.300","4,93","-1,60%"
"PFRM3","Profarma","207.000","7,84","+1,55%"
"PNVL3","Dimed","206.300","9,73","+0,21%"
"ORVR3","Orizon","199.800","56,45","+0,86%"
"AGRO3","BrasilAgro","182.300","20,45","-0,29%"
"FRAS3","Fras-le","160.400","22,73","+0,80%"
"LOGG3","LOG CP","146.900","23,68","-0,55%"
"CSED3","Cruzeiro do Sul Educacional","145.700","4,95","+0,81%"
"TGMA3","Tegma","144.500","34,80","+0,43%"
"BLAU3","Blau Farmacêutica","139.200","13,77","+0,88%"
"BRST3","Brisanet","137.000","2,96","+0,68%"
"DEXP3","Dexxos","134.600","8,11","-1,34%"
